"DXDRLPF.Code.or.Value","DXDRLPF.Value.Description","DXDRLPF.Count","DXDRLPF.Cumulative","DXDRLPF.Skip.to.Item"
"10.5 to 60.3","Range of Values",4853,4853,NA
".","Missing",927,5780,NA
