"DRD350B.Code.or.Value","DRD350B.Value.Description","DRD350B.Count","DRD350B.Cumulative","DRD350B.Skip.to.Item"
"1","Yes",732,732,""
"2","No",2601,3333,"DRD350C"
".","Missing",5949,9282,""
