"DR1TTFAT.Code.or.Value","DR1TTFAT.Value.Description","DR1TTFAT.Count","DR1TTFAT.Cumulative","DR1TTFAT.Skip.to.Item"
"0 to 601.33","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
