"BMXHT.Code.or.Value","BMXHT.Value.Description","BMXHT.Count","BMXHT.Cumulative","BMXHT.Skip.to.Item"
"80.7 to 202.7","Range of Values",8769,8769,NA
".","Missing",775,9544,NA
