"LEXLPTS1.Code.or.Value","LEXLPTS1.Value.Description","LEXLPTS1.Count","LEXLPTS1.Cumulative","LEXLPTS1.Skip.to.Item"
"53 to 239","Range of Values",2531,2531,NA
".","Missing",653,3184,NA
