"DR1TP204.Code.or.Value","DR1TP204.Value.Description","DR1TP204.Count","DR1TP204.Cumulative","DR1TP204.Skip.to.Item"
"0 to 1.276","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
