"LBDSCHSI.Code.or.Value","LBDSCHSI.Value.Description","LBDSCHSI.Count","LBDSCHSI.Cumulative","LBDSCHSI.Skip.to.Item"
"1.81 to 15.46","Range of Values",6891,6891,NA
".","Missing",554,7445,NA
