"WHQ225.Code.or.Value","WHQ225.Value.Description","WHQ225.Count","WHQ225.Cumulative","WHQ225.Skip.to.Item"
"1","1 to 2",1772,1772,NA
"2","3 to 5",908,2680,NA
"3","6 to 10",296,2976,NA
"4","11 times or more",220,3196,NA
"5","Never",3083,6279,NA
"7","Refused",2,6281,NA
"9","Don't know",46,6327,NA
".","Missing",0,6327,NA
