"WBXA007.Code.or.Value","WBXA007.Value.Description","WBXA007.Count","WBXA007.Cumulative","WBXA007.Skip.to.Item"
"-10.2346 to 0.9999","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
