"LBXM1.Code.or.Value","LBXM1.Value.Description","LBXM1.Count","LBXM1.Cumulative","LBXM1.Skip.to.Item"
"1","Yes",75,75,NA
"2","No",2889,2964,NA
".","Missing",6965,9929,NA
