"RFXC061.Code.or.Value","RFXC061.Value.Description","RFXC061.Count","RFXC061.Cumulative","RFXC061.Skip.to.Item"
"-6.062 to 4.299","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
