"LBC172LA.Code.or.Value","LBC172LA.Value.Description","LBC172LA.Count","LBC172LA.Cumulative","LBC172LA.Skip.to.Item"
"0.1 to 7.3","Range of Values",264,264,NA
".","Missing",0,264,NA
