"DS1ICARB.Code.or.Value","DS1ICARB.Value.Description","DS1ICARB.Count","DS1ICARB.Cumulative","DS1ICARB.Skip.to.Item"
"0.002 to 168","Range of Values",819,819,NA
".","Missing",4904,5723,NA
