"DMDYRSUS.Code.or.Value","DMDYRSUS.Value.Description","DMDYRSUS.Count","DMDYRSUS.Cumulative","DMDYRSUS.Skip.to.Item"
"1","Less than 1 year",80,80,NA
"2","1 year or more, but less than 5 years",258,338,NA
"3","5 year or more, but less than 10 years",303,641,NA
"4","10 year or more, but less than 15 years",345,986,NA
"5","15 year or more, but less than 20 years",220,1206,NA
"6","20 year or more, but less than 30 years",360,1566,NA
"7","30 year or more, but less than 40 years",249,1815,NA
"8","40 year or more, but less than 50 years",125,1940,NA
"9","50 years or more",61,2001,NA
"77","Refused",48,2049,NA
"99","Don't Know",24,2073,NA
".","Missing",7683,9756,NA
