"DR1TZINC.Code.or.Value","DR1TZINC.Value.Description","DR1TZINC.Count","DR1TZINC.Cumulative","DR1TZINC.Skip.to.Item"
"0.16 to 116.05","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
