"ALQ140Q.Code.or.Value","ALQ140Q.Value.Description","ALQ140Q.Count","ALQ140Q.Cumulative","ALQ140Q.Skip.to.Item"
"0 to 365","Range of Values",2649,2649,NA
"777","Refused",0,2649,NA
"999","Don't know",7,2656,NA
".","Missing",1788,4444,NA
