"DS1IFDFE.Code.or.Value","DS1IFDFE.Value.Description","DS1IFDFE.Count","DS1IFDFE.Cumulative","DS1IFDFE.Skip.to.Item"
"3 to 5440","Range of Values",1626,1626,NA
".","Missing",3744,5370,NA
