"BPQ150A.Code.or.Value","BPQ150A.Value.Description","BPQ150A.Count","BPQ150A.Cumulative","BPQ150A.Skip.to.Item"
"1","Yes",1679,1679,NA
"2","No",5691,7370,NA
".","Missing",2392,9762,NA
