"WHQ540.Code.or.Value","WHQ540.Value.Description","WHQ540.Count","WHQ540.Cumulative","WHQ540.Skip.to.Item"
"1","never,",669,669,NA
"2","sometimes, or",169,838,NA
"3","a lot?",14,852,NA
"7","Refused",0,852,NA
"9","Don't know",2,854,NA
".","Missing",975,1829,NA
