"DXXLSBMD.Code.or.Value","DXXLSBMD.Value.Description","DXXLSBMD.Count","DXXLSBMD.Cumulative","DXXLSBMD.Skip.to.Item"
"0.518 to 2.477","Range of Values",4620,4620,NA
".","Missing",1072,5692,NA
