"OSD030bc.Code.or.Value","OSD030bc.Value.Description","OSD030bc.Count","OSD030bc.Cumulative","OSD030bc.Skip.to.Item"
"12 to 59","Range of Values",14,14,NA
"80","80 or older",0,14,NA
"77777","Refused",0,14,NA
"99999","Don't know",1,15,NA
".","Missing",3054,3069,NA
