"TYXP129.Code.or.Value","TYXP129.Value.Description","TYXP129.Count","TYXP129.Cumulative","TYXP129.Skip.to.Item"
"-296 to 80","Range of Values",5006,5006,NA
".","Missing",579,5585,NA
