"LEARAPNC.Code.or.Value","LEARAPNC.Value.Description","LEARAPNC.Count","LEARAPNC.Cumulative","LEARAPNC.Skip.to.Item"
"1","Yes",38,38,NA
"2","No",140,178,NA
"8","Could not obtain",0,178,NA
".","Missing",3006,3184,NA
