"DR1IFOLA.Code.or.Value","DR1IFOLA.Value.Description","DR1IFOLA.Count","DR1IFOLA.Cumulative","DR1IFOLA.Skip.to.Item"
"0 to 3569","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
