"SPXNFET.Code.or.Value","SPXNFET.Value.Description","SPXNFET.Count","SPXNFET.Cumulative","SPXNFET.Skip.to.Item"
"1.1 to 32.8","Range of Values",6318,6318,NA
".","Missing",1425,7743,NA
