"LBXF03LA.Code.or.Value","LBXF03LA.Value.Description","LBXF03LA.Count","LBXF03LA.Cumulative","LBXF03LA.Skip.to.Item"
"0.7 to 46","Range of Values",1230,1230,NA
".","Missing",1317,2547,NA
