"MIALANG.Code.or.Value","MIALANG.Value.Description","MIALANG.Count","MIALANG.Cumulative","MIALANG.Skip.to.Item"
"1","English",6202,6202,NA
"2","Spanish",482,6684,NA
".","Missing",2570,9254,NA
