"DSQICHL.Code.or.Value","DSQICHL.Value.Description","DSQICHL.Count","DSQICHL.Cumulative","DSQICHL.Skip.to.Item"
"0.003 to 1500","Range of Values",774,774,NA
".","Missing",8785,9559,NA
