"AUXU2KL.Code.or.Value","AUXU2KL.Value.Description","AUXU2KL.Count","AUXU2KL.Cumulative","AUXU2KL.Skip.to.Item"
"-10 to 115","Range of Values",4298,4298,NA
"666","No response",0,4298,NA
"888","Could not obtain",28,4326,NA
".","Missing",256,4582,NA
