"WTSTH4YR.Code.or.Value","WTSTH4YR.Value.Description","WTSTH4YR.Count","WTSTH4YR.Cumulative","WTSTH4YR.Skip.to.Item"
"2180.4011513 to 345844.28659","Range of Values",2051,2051,NA
"0","Non-Respondent",225,2276,NA
".","Missing",0,2276,NA
