"WHQ510M.Code.or.Value","WHQ510M.Value.Description","WHQ510M.Count","WHQ510M.Cumulative","WHQ510M.Skip.to.Item"
"22","I want to be skinny/I don't want to be fat",16,16,NA
".","Missing",1813,1829,NA
