"DSQ128I.Code.or.Value","DSQ128I.Value.Description","DSQ128I.Count","DSQ128I.Cumulative","DSQ128I.Skip.to.Item"
"18","TO PREVENT COLDS, BOOST IMMUNE SYSTEM",735,735,NA
".","Missing",8382,9117,NA
