"DS2TFIBE.Code.or.Value","DS2TFIBE.Value.Description","DS2TFIBE.Count","DS2TFIBE.Cumulative","DS2TFIBE.Skip.to.Item"
"0.2 to 54","Range of Values",128,128,NA
".","Missing",9685,9813,NA
