"BAXFTC21.Code.or.Value","BAXFTC21.Value.Description","BAXFTC21.Count","BAXFTC21.Cumulative","BAXFTC21.Skip.to.Item"
"0 to 14","Range of Values",153,153,NA
".","Missing",3031,3184,NA
