"LBXBMN.Code.or.Value","LBXBMN.Value.Description","LBXBMN.Count","LBXBMN.Cumulative","LBXBMN.Skip.to.Item"
"1.75 to 54.92","Range of Values",5215,5215,NA
".","Missing",717,5932,NA
