"DR1TFF.Code.or.Value","DR1TFF.Value.Description","DR1TFF.Count","DR1TFF.Cumulative","DR1TFF.Skip.to.Item"
"0 to 2357","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
