"CIQGPJ.Code.or.Value","CIQGPJ.Value.Description","CIQGPJ.Count","CIQGPJ.Cumulative","CIQGPJ.Skip.to.Item"
"1","Yes",0,0,"CIDGPRB"
"2","No",2,2,""
"7","Refused",0,2,""
"9","Don't know",0,2,""
".","Missing",926,928,""
