"WBXF098.Code.or.Value","WBXF098.Value.Description","WBXF098.Count","WBXF098.Cumulative","WBXF098.Skip.to.Item"
"6168.8433 to 6168.8433","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
