"CIQP66.Code.or.Value","CIQP66.Value.Description","CIQP66.Count","CIQP66.Cumulative","CIQP66.Skip.to.Item"
"0 to 28","Range of Values",9,9,NA
"77","Refused",0,9,NA
"99","Don't know",0,9,NA
".","Missing",769,778,NA
