"AUXTPVR.Code.or.Value","AUXTPVR.Value.Description","AUXTPVR.Count","AUXTPVR.Cumulative","AUXTPVR.Skip.to.Item"
"0.2 to 5.4","Range of Values",3827,3827,NA
"777","Refused",3,3830,NA
"888","Could not obtain",33,3863,NA
".","Missing",637,4500,NA
