"DSQTVB6.Code.or.Value","DSQTVB6.Value.Description","DSQTVB6.Count","DSQTVB6.Cumulative","DSQTVB6.Skip.to.Item"
"0 to 673.3","Range of Values",2779,2779,NA
".","Missing",7758,10537,NA
