"WBXA006.Code.or.Value","WBXA006.Value.Description","WBXA006.Count","WBXA006.Cumulative","WBXA006.Skip.to.Item"
"-9.0331 to 0.9835","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
