"VTQ281A.Code.or.Value","VTQ281A.Value.Description","VTQ281A.Count","VTQ281A.Cumulative","VTQ281A.Skip.to.Item"
"1","Yes",90,90,""
"2","No",3007,3097,"VTQ281C"
"7","Refused",0,3097,"VTQ281C"
"9","Don't know",2,3099,"VTQ281C"
".","Missing",390,3489,""
