"IMQ030.Code.or.Value","IMQ030.Value.Description","IMQ030.Count","IMQ030.Cumulative","IMQ030.Skip.to.Item"
"1","Yes",1127,1127,NA
"2","No",3687,4814,NA
"7","Refused",0,4814,NA
"9","Don't know",226,5040,NA
".","Missing",5082,10122,NA
