"DXDTOA.Code.or.Value","DXDTOA.Value.Description","DXDTOA.Count","DXDTOA.Cumulative","DXDTOA.Skip.to.Item"
"1023.09 to 2981.1","Range of Values",5068,5068,NA
".","Missing",965,6033,NA
