"ARQ021CD.Code.or.Value","ARQ021CD.Value.Description","ARQ021CD.Count","ARQ021CD.Cumulative","ARQ021CD.Skip.to.Item"
"3","stiffness?",427,427,NA
".","Missing",4679,5106,NA
