"DR2IGRMS.Code.or.Value","DR2IGRMS.Value.Description","DR2IGRMS.Count","DR2IGRMS.Cumulative","DR2IGRMS.Skip.to.Item"
"0.04 to 8584","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
