"MCQ240M.Code.or.Value","MCQ240M.Value.Description","MCQ240M.Count","MCQ240M.Cumulative","MCQ240M.Skip.to.Item"
"42 to 71","Range of Values",5,5,NA
"85","85 years or older",1,6,NA
"77777","Refused",0,6,NA
"99999","Don't know",0,6,NA
".","Missing",9487,9493,NA
