"DR2TALCO.Code.or.Value","DR2TALCO.Value.Description","DR2TALCO.Count","DR2TALCO.Cumulative","DR2TALCO.Skip.to.Item"
"0 to 214.5","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
