"RFXT044.Code.or.Value","RFXT044.Value.Description","RFXT044.Count","RFXT044.Cumulative","RFXT044.Skip.to.Item"
"371 to 380","Range of Values",51066,51066,NA
".","Missing",10,51076,NA
