"DXXL2A.Code.or.Value","DXXL2A.Value.Description","DXXL2A.Count","DXXL2A.Cumulative","DXXL2A.Skip.to.Item"
"8.31 to 22.94","Range of Values",2836,2836,NA
".","Missing",872,3708,NA
