"SSGII3O2.Code.or.Value","SSGII3O2.Value.Description","SSGII3O2.Count","SSGII3O2.Cumulative","SSGII3O2.Skip.to.Item"
"0.021 to 3.5","Range of Values",1036,1036,NA
".","Missing",0,1036,NA
