"LBX170LA.Code.or.Value","LBX170LA.Value.Description","LBX170LA.Count","LBX170LA.Cumulative","LBX170LA.Skip.to.Item"
"2.7 to 129","Range of Values",1798,1798,NA
".","Missing",476,2274,NA
