"LBCPDE.Code.or.Value","LBCPDE.Value.Description","LBCPDE.Count","LBCPDE.Cumulative","LBCPDE.Skip.to.Item"
"84.5 to 11860","Range of Values",259,259,NA
".","Missing",6,265,NA
