"WBXA075.Code.or.Value","WBXA075.Value.Description","WBXA075.Count","WBXA075.Cumulative","WBXA075.Skip.to.Item"
"-0.8587 to 0.9998","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
