"DXXWDBMC.Code.or.Value","DXXWDBMC.Value.Description","DXXWDBMC.Count","DXXWDBMC.Cumulative","DXXWDBMC.Skip.to.Item"
"0.17 to 2.03","Range of Values",6076,6076,NA
".","Missing",1644,7720,NA
