"AUXU8KR.Code.or.Value","AUXU8KR.Value.Description","AUXU8KR.Count","AUXU8KR.Cumulative","AUXU8KR.Skip.to.Item"
"-10 to 75","Range of Values",1137,1137,NA
"666","No response",0,1137,NA
"888","Could not obtain",4,1141,NA
".","Missing",69,1210,NA
