"LBC066LA.Code.or.Value","LBC066LA.Value.Description","LBC066LA.Count","LBC066LA.Cumulative","LBC066LA.Skip.to.Item"
"0.1768 to 5.524","Range of Values",300,300,NA
".","Missing",1,301,NA
