"RHQ586U.Code.or.Value","RHQ586U.Value.Description","RHQ586U.Count","RHQ586U.Cumulative","RHQ586U.Skip.to.Item"
"1","Months",21,21,NA
"2","Years",26,47,NA
"7","Refused",0,47,NA
"9","Don't know",0,47,NA
".","Missing",3470,3517,NA
