"LBXD05LA.Code.or.Value","LBXD05LA.Value.Description","LBXD05LA.Count","LBXD05LA.Cumulative","LBXD05LA.Skip.to.Item"
"1.3 to 456","Range of Values",1874,1874,NA
".","Missing",411,2285,NA
