"RFXC113.Code.or.Value","RFXC113.Value.Description","RFXC113.Count","RFXC113.Cumulative","RFXC113.Skip.to.Item"
"-6.363 to 5.604","Range of Values",51057,51057,NA
".","Missing",19,51076,NA
