"HIQ210.Code.or.Value","HIQ210.Value.Description","HIQ210.Count","HIQ210.Cumulative","HIQ210.Skip.to.Item"
"1","Yes",617,617,""
"2","No",7032,7649,"End of Section"
"7","Refused",1,7650,"End of Section"
"9","Don't know",13,7663,"End of Section"
".","Missing",2302,9965,""
