"PUD032.Code.or.Value","PUD032.Value.Description","PUD032.Count","PUD032.Cumulative","PUD032.Skip.to.Item"
"1","One time only",786,786,NA
"2","Two or more times",494,1280,NA
".","Missing",9759,11039,NA
