"VTQ280C.Code.or.Value","VTQ280C.Value.Description","VTQ280C.Count","VTQ280C.Cumulative","VTQ280C.Skip.to.Item"
"1","Yes",133,133,NA
"2","No",1327,1460,NA
"7","Refused",3,1463,NA
"9","Don't know",1,1464,NA
".","Missing",25,1489,NA
